"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"ygaD",-0.21534251467454,6.16818379111791,1.66447742854154,0.205770319633714,0.993559778327269,0.993559778327269
"SL1344_2889",0.585194844604136,3.91814737459396,1.64831579108211,0.207933347602613,0.993559778327269,0.993559778327269
"SL1344_2893",-1.03306880690578,4.04452618794426,1.65300653994683,0.207302693777521,0.993559778327269,0.993559778327269
"rpsF",-0.182500862167682,9.16569883166832,1.66531405230202,0.205659100220266,0.993559778327269,0.993559778327269
"iolH",-0.338796005232929,5.04781690529752,1.65017584638141,0.207682989070226,0.993559778327269,0.993559778327269
"STnc1460",-0.197912547257552,10.5252621170662,1.66659340956965,0.205489166763939,0.993559778327269,0.993559778327269
"tpke11",0.572058078577866,3.4471957388098,1.67151939273425,0.204836464330671,0.993559778327269,0.993559778327269
"thrL",0.0934193719585122,6.77349812892353,0.128715667061729,0.722435926670337,0.995409543717767,0.995409543717767
"thrA",-0.0352592669656424,8.28938188893977,0.0985166378482534,0.755549041652494,0.995409543717767,0.995409543717767
"thrB",0.0929895361355414,8.15868573992438,0.10128669127724,0.752900015795354,0.995409543717767,0.995409543717767
"yaaJ",0.198022758738257,6.42897211430878,1.36743991454283,0.250445397698355,0.995409543717767,0.995409543717767
"talB",-0.0412016196443105,9.17418131298897,0.092122179429198,0.763359744300525,0.995409543717767,0.995409543717767
"mog",0.147139510550846,6.47139564208538,0.803294489385626,0.376459171949925,0.995409543717767,0.995409543717767
"yaaH",-0.167514945558503,9.76470207611395,1.0903306775329,0.303820176884299,0.995409543717767,0.995409543717767
"htgA",-0.406328394838481,3.93880729701207,1.0003438187041,0.324345120197857,0.995409543717767,0.995409543717767
"yaaI",-0.314505673202011,3.64266427544314,0.37467388807565,0.544569876589458,0.995409543717767,0.995409543717767
"dnaK",-0.0940218386550323,11.403067235349,0.218184628604657,0.643543050140154,0.995409543717767,0.995409543717767
"dnaJ",-0.109532417952272,9.51363621450172,0.33641774723251,0.56594038260053,0.995409543717767,0.995409543717767
"SL1344_0019",0.188016136375852,5.64102388863965,0.64671917875204,0.426916962796993,0.995409543717767,0.995409543717767
"bcfA",-0.326773455654778,4.4305009470229,0.78053521462413,0.383228101855076,0.995409543717767,0.995409543717767
